run_id,target,state,tiers,n_fasta,n_valid_designs,n_fallback_headers,n_invalid_sequences,n_positive_plddt,n_soluprot,mean_positive_plddt,max_plddt,mean_soluprot,max_soluprot,include_for_paper,exclude_reason
cath_test_2bteD04,2bteD04,completed,30;50;70,120,0,120,0,0,120,,,0.639921,0.639921,False,all_fallback_headers;no_positive_plddt
cath_test_2c36A00,2c36A00,completed,30;50;70,120,0,120,0,0,120,,,0.494234,0.494234,False,all_fallback_headers;no_positive_plddt
cath_test_2c3pB07,2c3pB07,completed,30;50;70,120,0,120,0,0,120,,,0.555289,0.555289,False,all_fallback_headers;no_positive_plddt
cath_test_2dxiA02,2dxiA02,completed,30;50;70,120,0,120,120,0,120,,,0.789182,0.789182,False,all_fallback_headers;all_invalid_sequences;no_positive_plddt
cath_test_2e79A00,2e79A00,completed,30;50;70,120,0,120,0,0,120,,,0.490186,0.490186,False,all_fallback_headers;no_positive_plddt
cath_test_2g18D00,2g18D00,completed,30;50;70,120,0,120,0,0,120,,,0.617748,0.617748,False,all_fallback_headers;no_positive_plddt
cath_test_2gy7B03,2gy7B03,completed,30;50;70,120,0,120,0,0,120,,,0.666873,0.666873,False,all_fallback_headers;no_positive_plddt
cath_test_2h7aA01,2h7aA01,completed,30;50;70,120,0,120,0,0,120,,,0.408675,0.408675,False,all_fallback_headers;no_positive_plddt
cath_test_2ii7G00,2ii7G00,completed,30;50;70,120,0,120,0,0,120,,,0.634633,0.634633,False,all_fallback_headers;no_positive_plddt
cath_test_2j8fA03,2j8fA03,completed,30;50;70,120,0,120,0,0,120,,,0.563967,0.563967,False,all_fallback_headers;no_positive_plddt
cath_test_2jloA00,2jloA00,completed,30;50;70,120,0,120,0,0,120,,,0.189715,0.189715,False,all_fallback_headers;no_positive_plddt
cath_test_2k7vB01,2k7vB01,completed,30;50;70,120,0,120,0,0,120,,,0.382354,0.382354,False,all_fallback_headers;no_positive_plddt
cath_test_2k7yA00,2k7yA00,completed,30;50;70,120,0,120,0,0,120,,,0.895773,0.895773,False,all_fallback_headers;no_positive_plddt
cath_test_2kdcB00,2kdcB00,completed,30;50;70,120,0,120,0,0,120,,,0.142132,0.142132,False,all_fallback_headers;no_positive_plddt
cath_test_2lotA00,2lotA00,completed,30;50;70,120,0,120,0,0,120,,,0.306452,0.306452,False,all_fallback_headers;no_positive_plddt
cath_test_2o5hB00,2o5hB00,completed,30;50;70,120,0,120,0,0,120,,,0.749742,0.749742,False,all_fallback_headers;no_positive_plddt
cath_test_2o70A00,2o70A00,completed,30;50;70,120,0,120,0,0,120,,,0.660485,0.660485,False,all_fallback_headers;no_positive_plddt
cath_test_2ob9B00,2ob9B00,completed,30;50;70,120,0,120,0,0,120,,,0.646092,0.646092,False,all_fallback_headers;no_positive_plddt
cath_test_2pfdD01,2pfdD01,completed,30;50;70,120,0,120,0,0,120,,,0.564877,0.564877,False,all_fallback_headers;no_positive_plddt
cath_test_2pgsA02,2pgsA02,completed,30;50;70,120,0,120,0,0,120,,,0.658272,0.658272,False,all_fallback_headers;no_positive_plddt
cath_test_2qshA03,2qshA03,completed,30;50;70,120,0,120,120,0,120,,,0.789182,0.789182,False,all_fallback_headers;all_invalid_sequences;no_positive_plddt
cath_test_2qv8A00,2qv8A00,completed,30;50;70,120,0,120,0,0,120,,,0.718449,0.718449,False,all_fallback_headers;no_positive_plddt
cath_test_2rfqC02,2rfqC02,completed,30;50;70,120,0,120,0,0,120,,,0.611015,0.611015,False,all_fallback_headers;no_positive_plddt
cath_test_2yruA01,2yruA01,completed,30;50;70,120,0,120,0,117,120,43.039831,43.136458,0.382583,0.382583,False,all_fallback_headers
cath_test_3akoB00,3akoB00,completed,30;50;70,120,0,120,0,120,120,88.038093,88.253642,0.6955,0.6955,False,all_fallback_headers
cath_test_3clqD02,3clqD02,completed,30;50;70,120,0,120,0,120,120,93.836164,93.87575,0.537927,0.537927,False,all_fallback_headers
cath_test_3es1A01,3es1A01,completed,30;50;70,120,0,120,0,120,120,93.48484,93.577687,0.750962,0.750962,False,all_fallback_headers
cath_test_3gs9A01,3gs9A01,completed,30;50;70,120,0,120,0,120,120,73.608574,74.330533,0.558892,0.558892,False,all_fallback_headers
cath_test_3gu0A03,3gu0A03,completed,30;50;70,120,120,0,0,53,120,92.81744,94.809187,0.906882,0.92641,False,
