complex_name,protein_path,ligand_description,protein_sequence
fold_1_01067,inputs/fold_1_01067_model_0.pdb,inputs/input_C6.sdf,
fold_2_02955,inputs/fold_2_02955_model_0.pdb,inputs/input_C6.sdf,
