round,pool_run_id,initial,gated,evaluated,max_plddt,max_soluprot
1,admin_20260430_064926_afb67369_round1_pool,2000,2000,35,91.90778280542996,0.7551618730177332
2,admin_20260430_064926_afb67369_round2_pool,2000,2000,4,90.29719457013579,0.7583270537835405
3,admin_20260430_064926_afb67369_round3_pool,2000,2000,5,90.41081447963803,0.7364682570065647
4,admin_20260430_064926_afb67369_round4_pool,2000,2000,5,90.39289592760178,0.6791491199500453
