target,run_id,tier,soluprot_n,af2_n,mean_soluprot,max_soluprot,mean_plddt,max_plddt
3RGK,pys74631_kribb.re.kr_3rgk,0.3,20,19,0.8061120234762059,0.8663417495905744,95.92036382903568,97.6561073825503
3RGK,pys74631_kribb.re.kr_3rgk,0.5,20,20,0.7735793250622132,0.8143291649259851,96.45863087248321,97.7065100671141
3RGK,pys74631_kribb.re.kr_3rgk,0.7,20,20,0.7596295267365522,0.8058639460732187,96.6033355704698,97.51973154362419
3RGK,pys74631_kribb.re.kr_3rgk,all,60,59,0.7797736250916572,0.8663417495905744,96.33434307814811,97.7065100671141
1LVM,admin_1lvm,0.3,20,20,0.6849272451026348,0.7718245723928746,88.8512669683258,90.32665158371042
1LVM,admin_1lvm,0.5,20,20,0.6910183180442855,0.7418768775584863,88.399221719457,89.6577828054298
1LVM,admin_1lvm,0.7,20,19,0.7058017167928995,0.7442956212498516,89.33394855918077,91.22289592760184
1LVM,admin_1lvm,all,60,59,0.6939157599799398,0.7718245723928746,88.85347112508627,91.22289592760184
